Schritt,Zustand,Zeit,Programmdauer,Schrittdauer,Zyklus,Zyklusebene,Prozedur,Prozedurebene,AhAkku,AhLad,AhEla,AhStep,Energie,WhStep,Spannung,Strom,Temp
4,PAU,07:33.6,460164,460041,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,07:43.6,470188,470065,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,07:53.6,480160,480037,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,08:03.6,490189,490066,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,08:13.6,500180,500057,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,08:23.6,510166,510043,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,08:33.6,520157,520034,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,08:43.7,530195,530072,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,08:53.6,540185,540062,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,09:03.6,550166,550043,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.613054958,0,27.3125
4,PAU,09:13.6,560184,560061,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,09:23.7,570200,570077,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,09:33.6,580170,580047,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,09:43.6,590154,590031,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,09:53.6,600169,600046,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,10:03.7,610198,610075,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,10:13.6,620171,620048,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,10:23.6,630184,630061,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.3125
4,PAU,10:33.7,640203,640080,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,10:43.6,650180,650057,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.375
4,PAU,10:53.6,660181,660058,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,11:03.6,670170,670047,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.613054958,0,27.375
4,PAU,11:13.6,680191,680068,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.375
4,PAU,11:23.7,690204,690081,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,11:33.6,700186,700063,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,11:43.6,710164,710041,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.375
4,PAU,11:53.6,720178,720055,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.375
4,PAU,12:03.6,730165,730042,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,12:13.6,740189,740066,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,12:23.6,750161,750038,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,12:33.7,760196,760073,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.375
4,PAU,12:43.6,770182,770059,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,12:53.6,780178,780055,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,13:03.6,790157,790034,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,13:13.6,800193,800070,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,13:23.7,810195,810072,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,13:33.6,820179,820056,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,13:43.7,830200,830077,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.3125
4,PAU,13:53.6,840167,840044,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.3125
4,PAU,14:03.6,850170,850047,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,14:13.6,860162,860039,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.375
4,PAU,14:23.6,870174,870051,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
